asin,date,id,name,rating,review,title,verified_purchase,total_review,extracted_raw_sentiment
B09R95CGSW,23-Mar-23,RU6F758GNRXII,Harold ,5,"This XR65A80K I purchased was to replace an XR65X950H - the 950H is a very competent TV, and is still in use in a bedroom, but even as good as it is with its local dimming, the idea of zero blooming appealed to me. Fortunately, I have my oldest son's 55"" LG C2 for a direct comparison, and while the C2 is slightly brighter and a better choice for next gen gaming, I felt the A80K was a better choice for my viewing habits, as most of my use is for movies, occasional YouTube browsing and every now and then, Nintendo Switch for retro games. After over a month to wring the Sony out on everything from 480 material ranging all the way up to 4K UHD Blu-rays, I can say that, as usual, Sony has done some awesome work here.Firstly,much has been made of OLED's shortcomings in moderately lit rooms - I'll make this point early, this panel is as capable as the Bravia 65X950H it replaced.Yes, specular highlights are brighter (1100+ nits for the 950 vs ~700 nits for the A80K), but those numbers only tell part of the story.With 8 million plus self lighting organic light emitting diodes, the blacks are perfect, and the brightness of those specular highlights are far more clearly defined.Yes, if you have a room flooded with sunlight, OLED isn't going to overcome that, but in a room moderately lit by sun, like mine, it's more than capable. Nighttime viewing is exceptional.The good:*Infinite contrast due to OLED technology. The inky blacks are only part of the story here, the clear distinction of a specular highlight against a far dimmer area create a far more enjoyable movie experience.*Out of the box color accuracy is amazing.First things first, on this and nearly every TV, Power Saving needs to be turned off.Picture Mode should be set to Custom, and in HDR, Gradation Preferred should be enabled.Only change I made to color itself was to slightly reduce the bias on the green sub pixels and slightly boost overall color saturation, the latter of which is something I've done on nearly every TV I've owned.*Processing.While I generally leave any additional video noise reduction and motion processing off, the few times I've felt the need to use any of them, they've been adjustable enough to add just what I wanted without the source material losing its sharpness or inducing soap opera effect.*Upscaling.As per usual, Sony's processing is second to none, although admittedly, LG has definitely closed the gap with the C2. Still, Sony has a visible edge here.*Sound. Although I use a Dolby Atmos/DTS X soundbar with surround speakers, the sound from the TV itself was surprisingly good.Since the panel is actually a speaker, the soundstage is pretty impressive - impressive enough to likely satisfy many people.*Operating temperature.I'd normally leave this out, but I honestly cannot believe how much cooler this thing runs when compared to an LED backlit LCD panel.I foresee this being a huge bonus this summer.*Lack of ""black crushing"": This is probably the biggest difference between the A80K and the C2 as far as picture quality.Details in dark scenes are clearly visible on the Sony, whereas they sometimes get lost on the C2.The ""it could be better"":*Brightness.This is really nit picking (no pun intended), but given that the A80K uses the same panel as the C2, yet is not quite as bright as somewhat of a mystery to me. To be honest, I can't see a definitive difference between the two, but it's worth mentioning.The Bad:*Only two HDMI 2.1 inputs, one of which is the same port used for a soundbar or receiver. To be fair, unless you're into next gen (PS5/Xbox X) gaming and have both consoles, this isn't going to be an issue, but a TV of this caliber should have four 2.1 inputs.*Potential for panel burn in.OLED technology has come a long way in the last decade, but the potential is still there for permanent burn in on individual pixels.If you watch a ton of TV (CNN with their bright white/red logo is a perfect example) that has a static logo, OLED probably shouldn't be on your want list, at least not yet.*Sustained bright picture will auto dim to protect the panel.While I've yet to experience this in anything other than intentionally trying to induce it, content with relatively bright areas over the majority of the panel, like ice hockey games,will activate auto dimming.*Dolby Vision.Please Sony, fix this.DV Dark is so out of whack that it's not even funny.While DV Bright can be made to look perfect as a DV Dark alternative, we deserve better.You did it on the A95K and LG's is great on their OLEDs, so we know it's possible.Remote: I get it, this isn't their flagship OLED, but it should come with the backlit remote.Movies and TV shows are this TV's strong points, and is particularly impressive with 4K High Dynamic Range/Dolby Vision content, both with hard copy and the built-in Google TV operating system.If sports (especially hockey) and/or the majority of your content has static logos, I'd probably stick with an LED backlit LCD TV.In closing, I did also consider the Sony A95K, the Samsung S95B and the LG C2 and G2.I passed on the Sony and Samsung because QD OLED is in its infancy, with a lot of long term questions about both burn in and longevity.The G2 lost out mostly because of the extra cost of a table top stand (wall mounting is not an option in my case).The A80K won over the C2 because of slightly better upscaling, the ability to pass DTS audio and the C2 having some problems with black crush.","Impressive TV, especially for movies",TRUE,"Title: Impressive TV, especially for movies Review: This XR65A80K I purchased was to replace an XR65X950H - the 950H is a very competent TV, and is still in use in a bedroom, but even as good as it is with its local dimming, the idea of zero blooming appealed to me. Fortunately, I have my oldest son's 55"" LG C2 for a direct comparison, and while the C2 is slightly brighter and a better choice for next gen gaming, I felt the A80K was a better choice for my viewing habits, as most of my use is for movies, occasional YouTube browsing and every now and then, Nintendo Switch for retro games. After over a month to wring the Sony out on everything from 480 material ranging all the way up to 4K UHD Blu-rays, I can say that, as usual, Sony has done some awesome work here.Firstly,much has been made of OLED's shortcomings in moderately lit rooms - I'll make this point early, this panel is as capable as the Bravia 65X950H it replaced.Yes, specular highlights are brighter (1100+ nits for the 950 vs ~700 nits for the A80K), but those numbers only tell part of the story.With 8 million plus self lighting organic light emitting diodes, the blacks are perfect, and the brightness of those specular highlights are far more clearly defined.Yes, if you have a room flooded with sunlight, OLED isn't going to overcome that, but in a room moderately lit by sun, like mine, it's more than capable. Nighttime viewing is exceptional.The good:*Infinite contrast due to OLED technology. The inky blacks are only part of the story here, the clear distinction of a specular highlight against a far dimmer area create a far more enjoyable movie experience.*Out of the box color accuracy is amazing.First things first, on this and nearly every TV, Power Saving needs to be turned off.Picture Mode should be set to Custom, and in HDR, Gradation Preferred should be enabled.Only change I made to color itself was to slightly reduce the bias on the green sub pixels and slightly boost overall color saturation, the latter of which is something I've done on nearly every TV I've owned.*Processing.While I generally leave any additional video noise reduction and motion processing off, the few times I've felt the need to use any of them, they've been adjustable enough to add just what I wanted without the source material losing its sharpness or inducing soap opera effect.*Upscaling.As per usual, Sony's processing is second to none, although admittedly, LG has definitely closed the gap with the C2. Still, Sony has a visible edge here.*Sound. Although I use a Dolby Atmos/DTS X soundbar with surround speakers, the sound from the TV itself was surprisingly good.Since the panel is actually a speaker, the soundstage is pretty impressive - impressive enough to likely satisfy many people.*Operating temperature.I'd normally leave this out, but I honestly cannot believe how much cooler this thing runs when compared to an LED backlit LCD panel.I foresee this being a huge bonus this summer.*Lack of ""black crushing"": This is probably the biggest difference between the A80K and the C2 as far as picture quality.Details in dark scenes are clearly visible on the Sony, whereas they sometimes get lost on the C2.The ""it could be better"":*Brightness.This is really nit picking (no pun intended), but given that the A80K uses the same panel as the C2, yet is not quite as bright as somewhat of a mystery to me. To be honest, I can't see a definitive difference between the two, but it's worth mentioning.The Bad:*Only two HDMI 2.1 inputs, one of which is the same port used for a soundbar or receiver. To be fair, unless you're into next gen (PS5/Xbox X) gaming and have both consoles, this isn't going to be an issue, but a TV of this caliber should have four 2.1 inputs.*Potential for panel burn in.OLED technology has come a long way in the last decade, but the potential is still there for permanent burn in on individual pixels.If you watch a ton of TV (CNN with their bright white/red logo is a perfect example) that has a static logo, OLED probably shouldn't be on your want list, at least not yet.*Sustained bright picture will auto dim to protect the panel.While I've yet to experience this in anything other than intentionally trying to induce it, content with relatively bright areas over the majority of the panel, like ice hockey games,will activate auto dimming.*Dolby Vision.Please Sony, fix this.DV Dark is so out of whack that it's not even funny.While DV Bright can be made to look perfect as a DV Dark alternative, we deserve better.You did it on the A95K and LG's is great on their OLEDs, so we know it's possible.Remote: I get it, this isn't their flagship OLED, but it should come with the backlit remote.Movies and TV shows are this TV's strong points, and is particularly impressive with 4K High Dynamic Range/Dolby Vision content, both with hard copy and the built-in Google TV operating system.If sports (especially hockey) and/or the majority of your content has static logos, I'd probably stick with an LED backlit LCD TV.In closing, I did also consider the Sony A95K, the Samsung S95B and the LG C2 and G2.I passed on the Sony and Samsung because QD OLED is in its infancy, with a lot of long term questions about both burn in and longevity.The G2 lost out mostly because of the extra cost of a table top stand (wall mounting is not an option in my case).The A80K won over the C2 because of slightly better upscaling, the ability to pass DTS audio and the C2 having some problems with black crush.","{
  ""aspects"": {
    ""Infinite contrast"": {
      ""sentiment"": ""positive"",
      ""justification"": ""OLED technology provides inky blacks and clear distinction of a specular highlight against a far dimmer area creating a far more enjoyable movie experience.""
    },
    ""Color accuracy"": {
      ""sentiment"": ""positive"",
      ""justification"": ""Out of the box color accuracy is amazing with only slight adjustments needed.""
    },
    ""Processing"": {
      ""sentiment"": ""positive"",
      ""justification"": ""Additional video noise reduction and motion processing are adjustable enough to add just what is needed without the source material losing its sharpness or inducing soap opera effect.""
    },
    ""Upscaling"": {
      ""sentiment"": ""positive"",
      ""justification"": ""Sony's processing is second to none making upscaling exceptional.""
    },
    ""Sound"": {
      ""sentiment"": ""positive"",
      ""justification"": ""The sound from the TV itself was surprisingly good and could satisfy many people.""
    },
    ""Operating temperature"": {
      ""sentiment"": ""positive"",
      ""justification"": ""The TV runs much cooler when compared to an LED backlit LCD panel which is good for summer.""
    },
    ""Brightness"": {
      ""sentiment"": ""neutral"",
      ""justification"": ""Although the A80K uses the same panel as the slightly brighter LG C2, the brightness of the Sony is still pretty good.""
    },
    ""HDMI inputs"": {
      ""sentiment"": ""negative"",
      ""justification"": ""Only two HDMI 2.1 inputs, one of which is the same port used for a soundbar or receiver, which can be an issue for next gen gaming.""
    },
    ""Potential for panel burn in"": {
      ""sentiment"": ""negative"",
      ""justification"": ""OLED still has potential for permanent burn in on individual pixels, so it may not be suitable for those who watch a lot of TV with static logos.""
    },
    ""Sustained bright picture auto dimming"": {
      ""sentiment"": ""negative"",
      ""justification"": ""Content with relatively bright areas over the majority of the panel, like ice hockey games, will activate auto dimming which can be frustrating.""
    },
    ""Dolby Vision"": {
      ""sentiment"": ""negative"",
      ""justification"": ""DV Dark is out of whack and needs to be fixed by Sony, and the remote could use a backlight.""
    }
  }
}"
B09R95CGSW,8-Apr-23,R35VYWRYIAMWKD,Brandon Goldsmith,5,"My LED TV developed some sort of light leakage that resulted in a large spot displaying on the screen. I was like every scene featured a beautiful sunset.So, time to buy another TV! My natural inclination was to go with Samsung (I have other Samsung TVs that are going strong after years), but since this was the brand that failed—more precisely the technology used by Samsung—I started researching the technology I should be going with.After and lot a of reading and video watching I decided that OLED would be the best (really because its ability to turn off pixels and so create truly black blacks) and so looked for a good deal.It so happened that Sony was running a promotion on theBravia A80K, so that (together with a strong recommendation from my son who owns the same model but larger size) persuaded me to buy this model.Compared to my old TV, it's really night and day. I did have a 4K TV before, but this is better in so many ways. The colors are superbly rendered and the sound—which I feed into my eARC-enabled AVR—is really great. I can now get Dolby Atmos content rendered very nicely.The TV was really easy to set up but, and Sony warns you of this, you need two people to unpack and position the TV safely. The legs are easy to attach, but you need help to stabilize the TV while you do so. The menus are easy to navigate and setting up the screen and audio options was easy—I did have help from my son who, as I said, is familiar with the TV, but I could easily have done it myself.One of the things to get used to is having 2 ARC HDMI ports (there are 2 regular HDMIs too), so my Firestick is plugged into the back of the TV now, rather than the AVR. This is all possible because of eARC, so that is a big deal. Fortunately by AVR also has eARC, so connecting my system was easy: eARC from TV's HDMI 3 and Firestick into HDMI 4. I also plugged an ethernet cable into the ethernet port, which also made setting up super-easy. Having a hard-wired network connection (wifi is also available I think)made initial firmware updates really easy.I had read that there was an issue with the TV not being particularly bright. I have not found this to be the case at all, and our TV-watching room has a lot of ambient light.The remote control is very nicely designed and can you control connected devices as well as the TV. I use another kind of controller, but if I hadn't already bought that, I would certainly be using the Sony remote to control everything.In summary: Picture is superb, sound is amazing, set-up is easy. I am absolutely loving this TV and would highly recommend it to anybody wishing to step up the capabilities of their home viewing system.","Bravo, Sony!",TRUE,"Title: Bravo, Sony! Review: My LED TV developed some sort of light leakage that resulted in a large spot displaying on the screen. I was like every scene featured a beautiful sunset.So, time to buy another TV! My natural inclination was to go with Samsung (I have other Samsung TVs that are going strong after years), but since this was the brand that failed—more precisely the technology used by Samsung—I started researching the technology I should be going with.After and lot a of reading and video watching I decided that OLED would be the best (really because its ability to turn off pixels and so create truly black blacks) and so looked for a good deal.It so happened that Sony was running a promotion on theBravia A80K, so that (together with a strong recommendation from my son who owns the same model but larger size) persuaded me to buy this model.Compared to my old TV, it's really night and day. I did have a 4K TV before, but this is better in so many ways. The colors are superbly rendered and the sound—which I feed into my eARC-enabled AVR—is really great. I can now get Dolby Atmos content rendered very nicely.The TV was really easy to set up but, and Sony warns you of this, you need two people to unpack and position the TV safely. The legs are easy to attach, but you need help to stabilize the TV while you do so. The menus are easy to navigate and setting up the screen and audio options was easy—I did have help from my son who, as I said, is familiar with the TV, but I could easily have done it myself.One of the things to get used to is having 2 ARC HDMI ports (there are 2 regular HDMIs too), so my Firestick is plugged into the back of the TV now, rather than the AVR. This is all possible because of eARC, so that is a big deal. Fortunately by AVR also has eARC, so connecting my system was easy: eARC from TV's HDMI 3 and Firestick into HDMI 4. I also plugged an ethernet cable into the ethernet port, which also made setting up super-easy. Having a hard-wired network connection (wifi is also available I think)made initial firmware updates really easy.I had read that there was an issue with the TV not being particularly bright. I have not found this to be the case at all, and our TV-watching room has a lot of ambient light.The remote control is very nicely designed and can you control connected devices as well as the TV. I use another kind of controller, but if I hadn't already bought that, I would certainly be using the Sony remote to control everything.In summary: Picture is superb, sound is amazing, set-up is easy. I am absolutely loving this TV and would highly recommend it to anybody wishing to step up the capabilities of their home viewing system.","{
    ""aspects"": {
        ""picture quality"": {
            ""sentiment"": ""positive"",
            ""justification"": ""Compared to my old TV, it's really night and day. The colors are superbly rendered.""
        },
        ""sound quality"": {
            ""sentiment"": ""positive"",
            ""justification"": ""The sound is really great. I can now get Dolby Atmos content rendered very nicely.""
        },
        ""set-up"": {
            ""sentiment"": ""positive"",
            ""justification"": ""The TV was really easy to set up. The menus are easy to navigate and setting up the screen and audio options was easy.""
        },
        ""design"": {
            ""sentiment"": ""positive"",
            ""justification"": ""The remote control is very nicely designed.""
        },
        ""technology"": {
            ""sentiment"": ""positive"",
            ""justification"": ""I decided that OLED would be the best (really because its ability to turn off pixels and so create truly black blacks) and so looked for a good deal.""
        },
        ""brand"": {
            ""sentiment"": ""positive"",
            ""justification"": ""Bravo, Sony!""
        },
        ""brightness"": {
            ""sentiment"": ""neutral"",
            ""justification"": ""I had read that there was an issue with the TV not being particularly bright. I have not found this to be the case at all, and our TV-watching room has a lot of ambient light.""
        },
        ""ports"": {
            ""sentiment"": ""positive"",
            ""justification"": ""One of the things to get used to is having 2 ARC HDMI ports (there are 2 regular HDMIs too), so my Firestick is plugged into the back of the TV now, rather than the AVR. This is all possible because of eARC, so that is a big deal.""
        }
    }
}"
B09R95CGSW,28-Mar-23,R2GN4ETLMJULLX,Patrick,5,"with the recent price drop (probably due to new model coming out soon), this TV is brilliant. While I predominantly use Apple TV, the native Google TV is user-friendly. The picture is stunning. A fun fact with the TV is you get 5 free credits to 'Bravia Core' which is basically any 5 movies produced by Sony. So far, I've redeemed Spiderman: No Way Home and Lawrence of Arabia and enjoyed them both in enhanced IMAX. really, really great; no regrets",Great Value,TRUE,"Title: Great Value Review: with the recent price drop (probably due to new model coming out soon), this TV is brilliant. While I predominantly use Apple TV, the native Google TV is user-friendly. The picture is stunning. A fun fact with the TV is you get 5 free credits to 'Bravia Core' which is basically any 5 movies produced by Sony. So far, I've redeemed Spiderman: No Way Home and Lawrence of Arabia and enjoyed them both in enhanced IMAX. really, really great; no regrets","{
  ""aspects"": {
    ""Price"": {
      ""sentiment"": ""positive"",
      ""justification"": ""with the recent price drop (probably due to new model coming out soon), this TV is brilliant""
    },
    ""User-friendliness"": {
      ""sentiment"": ""positive"",
      ""justification"": ""While I predominantly use Apple TV, the native Google TV is user-friendly""
    },
    ""Picture"": {
      ""sentiment"": ""positive"",
      ""justification"": ""The picture is stunning""
    },
    ""Bravia Core"": {
      ""sentiment"": ""positive"",
      ""justification"": ""A fun fact with the TV is you get 5 free credits to 'Bravia Core' which is basically any 5 movies produced by Sony. So far, I've redeemed Spiderman: No Way Home and Lawrence of Arabia and enjoyed them both in enhanced IMAX""
    },
    ""Overall"": {
      ""sentiment"": ""positive"",
      ""justification"": ""really, really great; no regrets""
    }
  }
}"
B09R95CGSW,24-Feb-23,R1S7A5IHRSWEY8,G Springer,4,"First I am a Sony tv owner for 7 years now, and I have always believed in their products.Yet I am not sure about the A80K. I have noticed some glitches in using YouTube and it maybe my internet (but I don’t know believe so) because on my 65 inch Sony is great.Plus, I had to buy a faster external usb 1000 gig network adapter to speed up the connections to match my TP-Link 5400 6e router much faster accessing Netflix and Prime.Still getting familiar with the settings. Not sure if I see the big color differences than my 65 inch.Not as bright in the dark than expected.I don’t have the box to return the tv, so I going to work on adjusting",Still Not Dure,TRUE,"Title: Still Not Dure Review: First I am a Sony tv owner for 7 years now, and I have always believed in their products.Yet I am not sure about the A80K. I have noticed some glitches in using YouTube and it maybe my internet (but I don’t know believe so) because on my 65 inch Sony is great.Plus, I had to buy a faster external usb 1000 gig network adapter to speed up the connections to match my TP-Link 5400 6e router much faster accessing Netflix and Prime.Still getting familiar with the settings. Not sure if I see the big color differences than my 65 inch.Not as bright in the dark than expected.I don’t have the box to return the tv, so I going to work on adjusting","{
  ""aspects"": {
    ""glitches in using YouTube"": {
      ""sentiment"": ""negative"",
      ""justification"": ""but I don’t know believe so""
    },
    ""speed of connections"": {
      ""sentiment"": ""positive"",
      ""justification"": ""faster external usb 1000 gig network adapter to speed up the connections to match my TP-Link 5400 6e router much faster accessing Netflix and Prime""
    },
    ""getting familiar with the settings"": {
      ""sentiment"": ""neutral"",
      ""justification"": ""Still getting familiar with the settings""
    },
    ""color differences"": {
      ""sentiment"": ""neutral"",
      ""justification"": ""Not sure if I see the big color differences than my 65 inch""
    },
    ""brightness in the dark"": {
      ""sentiment"": ""negative"",
      ""justification"": ""Not as bright in the dark than expected""
    },
    ""return policy"": {
      ""sentiment"": ""neutral"",
      ""justification"": ""I don’t have the box to return the tv, so I going to work on adjusting""
    }
  }
}"
B09R95CGSW,26-Mar-23,R14S60Q1Q5V2P1,Cole,4,"Well with all the crazy reviews this company has gotten, I’m just glad the right tv showed up and worked. Although that’s all it came with. No remote, instructions, or even the mounting screws.",Overall good,TRUE,"Title: Overall good Review: Well with all the crazy reviews this company has gotten, I’m just glad the right tv showed up and worked. Although that’s all it came with. No remote, instructions, or even the mounting screws.","{
  ""aspects"": {
    ""TV quality"": {
      ""sentiment"": ""positive"",
      ""justification"": ""the TV showed up and worked""
    },
    ""Accessories"": {
      ""sentiment"": ""negative"",
      ""justification"": ""No remote, instructions, or even the mounting screws were included""
    }
  }
}"
B09R95CGSW,5-Dec-22,R57FV353ZKD25,Steven Matt,5,"I have been waiting for some time to buy an OLED, I had $2000 budget and my final product choices were this Sony, An LGC2, or the Samsung S95b.All were viewed at the the stores selling them.I will be straight up with you, I chose the Sony due to the fact, that you can dial in one hell of a picture without a professional calibration.I skipped the L.G. which is a tad brighter, because I do not game at all. I skipped the Samsung because the tech is too new and I purchase a television every 3 years or so.This will give all of the makers who will be selling the new QD oleds ( which will be everyone) to get it right.If you can afford more for the A90k or A90J, I would definitely say to go for it.This television is worth every bit of 1700 bucks. Please check out Quantum, HDTV, Classy Tech, Rtings, or Fomo on their youtube channels to get their info and picture mode calibrations. If you listen tothem you will be richly rewarded.I will be doing a follow up review after I have lived with this set for at least a month. If you are a gamer, buy the L.G.If you are into the hype of the Samsung being the best you can buy right now (it is fantastic) but are afraid of the firmware updates and bent screen problems, like me, buy the A80k or the A90k and live with the best picture, ease of use and a beautifully easy to set up interface for picture modes to combat the low bit and frame rates that occur if you watch mainly movies and streaming apps. I went from a mini led to this, my first oled, it was well worth the wait. 4k movies and blurays look fantastic, and if you plan to use this television as a computer screen, don't buy it. Static chyrons and info banners and logos can cause burn-in.Otherwise I would not worry about burn in. More to come.....",Great Value for the Money,TRUE,"Title: Great Value for the Money Review: I have been waiting for some time to buy an OLED, I had $2000 budget and my final product choices were this Sony, An LGC2, or the Samsung S95b.All were viewed at the the stores selling them.I will be straight up with you, I chose the Sony due to the fact, that you can dial in one hell of a picture without a professional calibration.I skipped the L.G. which is a tad brighter, because I do not game at all. I skipped the Samsung because the tech is too new and I purchase a television every 3 years or so.This will give all of the makers who will be selling the new QD oleds ( which will be everyone) to get it right.If you can afford more for the A90k or A90J, I would definitely say to go for it.This television is worth every bit of 1700 bucks. Please check out Quantum, HDTV, Classy Tech, Rtings, or Fomo on their youtube channels to get their info and picture mode calibrations. If you listen tothem you will be richly rewarded.I will be doing a follow up review after I have lived with this set for at least a month. If you are a gamer, buy the L.G.If you are into the hype of the Samsung being the best you can buy right now (it is fantastic) but are afraid of the firmware updates and bent screen problems, like me, buy the A80k or the A90k and live with the best picture, ease of use and a beautifully easy to set up interface for picture modes to combat the low bit and frame rates that occur if you watch mainly movies and streaming apps. I went from a mini led to this, my first oled, it was well worth the wait. 4k movies and blurays look fantastic, and if you plan to use this television as a computer screen, don't buy it. Static chyrons and info banners and logos can cause burn-in.Otherwise I would not worry about burn in. More to come.....","{
  ""aspects"": {
    ""Picture quality"": {
      ""sentiment"": ""Positive"",
      ""justification"": ""The Sony can dial in a great picture without professional calibration, making it the reviewer's choice over other options.""
    },
    ""Brightness"": {
      ""sentiment"": ""Neutral"",
      ""justification"": ""The LG is brighter, but the reviewer skipped it because they don't game.""
    },
    ""Technology"": {
      ""sentiment"": ""Negative"",
      ""justification"": ""The Samsung's technology is too new and the reviewer purchases a TV every 3 years or so, opting for a television that has had time to perfect the technology.""
    },
    ""Value"": {
      ""sentiment"": ""Positive"",
      ""justification"": ""The television is worth every bit of $1700, providing great value for the money.""
    },
    ""Gaming"": {
      ""sentiment"": ""Positive"",
      ""justification"": ""The LG is recommended for gamers.""
    },
    ""Ease of use"": {
      ""sentiment"": ""Positive"",
      ""justification"": ""The A90k or A90J (more expensive options) are recommended for the best picture and ease of use, but the A80k or A90k still have a beautifully easy to set up interface for picture modes.""
    },
    ""Burn-in"": {
      ""sentiment"": ""Negative"",
      ""justification"": ""The reviewer warns against using the television as a computer screen, as static chyrons and info banners and logos can cause burn-in.""
    }
  }
}"
B09R95CGSW,19-Mar-23,R1HAXH75IWFHOP,Chris Aram,5,"Terrific display. This is our second Sony 4K TV and the user experience feels more refined, too; the remote control has fewer buttons, the apps work well and are easy to install; all of the expected settings are accessible and easy to adjust. Would recommend and buy again.","Terrific OLED display, reasonably priced",TRUE,"Title: Terrific OLED display, reasonably priced Review: Terrific display. This is our second Sony 4K TV and the user experience feels more refined, too; the remote control has fewer buttons, the apps work well and are easy to install; all of the expected settings are accessible and easy to adjust. Would recommend and buy again.","{
   ""aspects"":{
      ""display"":{
         ""sentiment"":""positive"",
         ""justification"":""Terrific display.""
      },
      ""user experience"":{
         ""sentiment"":""positive"",
         ""justification"":""The user experience feels more refined, too; the remote control has fewer buttons, the apps work well and are easy to install; all of the expected settings are accessible and easy to adjust.""
      },
      ""price"":{
         ""sentiment"":""positive"",
         ""justification"":""reasonably priced""
      }
   }
}"
B09R95CGSW,12-Mar-23,RKZOIKC3SXUBM,nate,4,Paired with a Sony g700 it power cycles between the two after we power the system back on. Wonder if there is a way to fix this plus the soundbar is a little high for the remote to power on,Power cycle with soundbar,TRUE,Title: Power cycle with soundbar Review: Paired with a Sony g700 it power cycles between the two after we power the system back on. Wonder if there is a way to fix this plus the soundbar is a little high for the remote to power on,"{
  ""aspects"": {
    ""compatibility"": {
      ""sentiment"": ""negative"",
      ""justification"": ""Paired with a Sony g700 it power cycles between the two after we power the system back on.""
    },
    ""functionality"": {
      ""sentiment"": ""neutral"",
      ""justification"": ""Wonder if there is a way to fix this""
    },
    ""design"": {
      ""sentiment"": ""negative"",
      ""justification"": ""plus the soundbar is a little high for the remote to power on""
    }
  }
}"
B09R95CGSW,7-Mar-23,R3HX776I65F8P7,Danielle M. Rizzo,5,"To be fair, I am 43 and on only the 3rd TV of my life, so I have had some old televisions. I am partly just blown away by the change in quality that would likely be apparent with any newer television. But I swear, if God himself is watching CCTV footage of planet earth, this is the TV he is using. Watching it feels like it is restoring the vision quality I had as a wee lass.I'm sorry, I don't think this review is in any way useful. I'm just in love.",I'm in love.,TRUE,"Title: I'm in love. Review: To be fair, I am 43 and on only the 3rd TV of my life, so I have had some old televisions. I am partly just blown away by the change in quality that would likely be apparent with any newer television. But I swear, if God himself is watching CCTV footage of planet earth, this is the TV he is using. Watching it feels like it is restoring the vision quality I had as a wee lass.I'm sorry, I don't think this review is in any way useful. I'm just in love.","{
  ""aspects"": {
    ""picture quality"": {
      ""sentiment"": ""positive"",
      ""justification"": ""change in quality compared to previous TV, feels like restoring vision quality""
    }
  }
}"
B09R95CGSW,10-Mar-23,R3J56GZP6OOUHL,Stecker,4,"This is the second Sony I have tried, but the picture just was bright and it did not pop. I returned it and bought the lg c2. Such a better, brighter picture!",Not as good as lg c2,TRUE,"Title: Not as good as lg c2 Review: This is the second Sony I have tried, but the picture just was bright and it did not pop. I returned it and bought the lg c2. Such a better, brighter picture!","{
    ""aspects"": {
        ""picture quality"": {
            ""sentiment"": ""negative"",
            ""justification"": ""the picture just was bright and it did not pop""
        },
        ""brand comparison"": {
            ""sentiment"": ""positive"",
            ""justification"": ""This is the second Sony I have tried, but...bought the lg c2. Such a better, brighter picture!""
        }
    }
}"
